wavenumber,intensity
400.000,0.059283
403.003,0.085974
406.005,0.083454
409.008,0.048934
412.010,0.053360
415.013,0.048952
418.015,0.071074
421.018,0.058738
424.020,0.074976
427.023,0.023272
430.025,0.091729
433.028,0.058648
436.030,0.074364
439.033,0.058204
442.035,0.053532
445.038,0.070555
448.040,0.077962
451.043,0.057600
454.045,0.058773
457.048,0.075722
460.050,0.044779
463.053,0.032076
466.055,0.070442
469.058,0.049309
472.060,0.024491
475.063,0.046795
478.065,0.053902
481.068,0.039567
484.070,0.033759
487.073,0.064519
490.075,0.081908
493.078,0.059478
496.080,0.049445
499.083,0.072194
502.085,0.079016
505.088,0.058847
508.090,0.075918
511.093,0.086058
514.095,0.061238
517.098,0.049283
520.100,0.072682
523.103,0.070856
526.105,0.088057
529.108,0.040565
532.110,0.053200
535.113,0.049844
538.115,0.032103
541.118,0.069487
544.120,0.077689
547.123,0.052532
550.125,0.095196
553.128,0.084096
556.130,0.080380
559.133,0.076041
562.135,0.087294
565.138,0.041715
568.140,0.080808
571.143,0.080758
574.145,0.033522
577.148,0.075991
580.150,0.064215
583.153,0.085028
586.155,0.060789
589.158,0.069379
592.160,0.076773
595.163,0.052564
598.165,0.082234
601.168,0.068335
604.170,0.080457
607.173,0.060342
610.175,0.092675
613.178,0.083227
616.180,0.067735
619.183,0.084106
622.185,0.096834
625.188,0.107633
628.190,0.040510
631.193,0.089815
634.195,0.081625
637.198,0.070617
640.200,0.052532
643.203,0.097979
646.205,0.047771
649.208,0.084515
652.210,0.099384
655.213,0.041523
658.215,0.067636
661.218,0.047671
664.220,0.078906
667.223,0.104482
670.225,0.114835
673.228,0.038971
676.230,0.063203
679.233,0.088942
682.235,0.106627
685.238,0.083632
688.240,0.060453
691.243,0.081487
694.245,0.075380
697.248,0.071805
700.250,0.061359
703.253,0.083961
706.255,0.082540
709.258,0.074690
712.260,0.072283
715.263,0.051186
718.265,0.067327
721.268,0.101346
724.270,0.073573
727.273,0.048756
730.275,0.104405
733.278,0.088488
736.280,0.120210
739.283,0.079464
742.285,0.069151
745.288,0.049592
748.290,0.105186
751.293,0.130265
754.295,0.062621
757.298,0.066262
760.300,0.091292
763.303,0.062926
766.305,0.074286
769.308,0.072864
772.310,0.083864
775.313,0.102085
778.315,0.080793
781.318,0.098893
784.320,0.072281
787.323,0.087397
790.325,0.038240
793.328,0.052168
796.330,0.097247
799.333,0.069688
802.335,0.093252
805.338,0.092662
808.340,0.108423
811.343,0.098376
814.345,0.102640
817.348,0.080228
820.350,0.068657
823.353,0.068152
826.355,0.073183
829.358,0.060508
832.360,0.072316
835.363,0.081574
838.365,0.088617
841.368,0.076967
844.370,0.045431
847.373,0.082618
850.375,0.088730
853.378,0.106072
856.380,0.096099
859.383,0.071829
862.385,0.070383
865.388,0.125229
868.390,0.100308
871.393,0.121962
874.395,0.128080
877.398,0.069287
880.400,0.093512
883.403,0.095127
886.405,0.097313
889.408,0.097115
892.410,0.090475
895.413,0.090073
898.415,0.056697
901.418,0.083595
904.420,0.072107
907.423,0.089737
910.425,0.078020
913.428,0.099897
916.430,0.104063
919.433,0.094011
922.435,0.094316
925.438,0.090007
928.440,0.079349
931.443,0.085173
934.445,0.078710
937.448,0.096548
940.450,0.089242
943.453,0.100769
946.455,0.062772
949.458,0.107331
952.460,0.074597
955.463,0.075506
958.465,0.086683
961.468,0.079948
964.470,0.097829
967.473,0.081604
970.475,0.073180
973.478,0.079682
976.480,0.125594
979.483,0.103950
982.485,0.084649
985.488,0.114644
988.490,0.091737
991.493,0.169325
994.495,0.116437
997.498,0.173024
1000.500,0.194364
1003.503,0.178381
1006.505,0.241354
